Comment ID,Website,Category,Is Article,Comment Title,Comment Text,User ID,Parent ID,Parent Title,Parent Text,Parent User ID,Comment Time,Segmented Text
64644917,MIT,Military,False," Re: 你们对美国医疗的认识错得离谱
",Hdhp 适合两种情况，一种是年轻不怎么得病，另外一种是日常花销足够，需要避税的，hsa这里面其实是公司和员工一起在逃避分摊医疗保险的费用，如果公司不提供megabackdoor Roth，或者不符合条件的话，hsa是另外一个避税手段，一年两口人7200的三重免税额度，当Roth存【在EGCG（）的大作中提到：】：我只有一个疑问，公司提供比较好的保险很正常，我的保险也不错。：但是，一般比较好的保险和HSA是不兼容的，理论上说，HSA只适用于高deductible的差一些的保险。莫非你是指FSA里的healthcare spending account？--※ 修改:·burlingame 於 Jun  1 04:06:42 2022 修改本文·[FROM: 73.],burlingame,64644133,,,0, 2022年06月01日04:05:43,"  Re :   你们 对 美国 医疗 的 认识 错得 离谱 
 Hdhp   适合 两种 情况 ， 一种 是 年轻 不怎么 得病 ， 另外 一种 是 日常 花销 足够 ， 需要 避税 的 ， hsa 这 里面 其实 是 公司 和 员工 一起 在 逃避 分摊 医疗保险 的 费用 ， 如果 公司 不 提供 megabackdoor   Roth ， 或者 不 符合条件 的话 ， hsa 是 另外 一个 避税 手段 ， 一年 两口 人 7200 的 三重 免税 额度 ， 当 Roth 存 【 在 EGCG （ ） 的 大作 中 提到 ： 】 ： 我 只有 一个 疑问 ， 公司 提供 比较 好 的 保险 很 正常 ， 我 的 保险 也 不错 。 ： 但是 ， 一般 比较 好 的 保险 和 HSA 是 不 兼容 的 ， 理论 上 说 ， HSA 只 适用 于 高 deductible 的 差 一些 的 保险 。 莫非 你 是 指 FSA 里 的 healthcare   spending   account ？ -- ※   修改 : · burlingame   於   Jun     1   04 : 06 : 42   2022   修改 本文 · [ FROM :   73 . ]"
64644915,MIT,Military,False," Re: 半管宣了：003将于6月3号下水
",不会的，收复台湾，学生更有耐心【 在 phlin (四匹) 的大作中提到: 】:  晚一天 會被 學生開走--,realoption,64644889," 半管宣了：003将于6月3号下水
",冲上热搜了。--,newbeing, 2022年06月01日04:05:39,"  Re :   半管 宣了 ： 003 将 于 6 月 3 号 下水 
 不会 的 ， 收复 台湾 ， 学生 更 有 耐心 【   在   phlin   ( 四匹 )   的 大作 中 提到 :   】 :     晚 一天   會 被   學生開 走 --"
64644913,MIT,Military,False," Re: 研究显示：一枚比特币所耗电力可供一个印度家庭用一年
",三哥人肉发电，拿发的电去挖比特币 ~~--,tran299,64644261,,,0, 2022年06月01日04:04:40,"  Re :   研究 显示 ： 一枚 比特 币 所耗 电力 可 供 一个 印度 家庭 用 一年 
 三哥 人肉 发电 ， 拿发 的 电去 挖 比特 币   ~ ~ --"
64644911,MIT,Military,False," Re: 我之前做过项目，和20岁左右的白牛分在一起
",  丑白牛没教养的样子，再怎么着也不应该对同事直接表现出来。--,voodoo2,64637441,,,0, 2022年06月01日04:02:25,"  Re :   我 之前 做过 项目 ， 和 20 岁 左右 的 白牛分 在 一起 
     丑白牛 没教养 的 样子 ， 再 怎么着 也 不 应该 对 同事 直接 表现 出来 。 --"
64644909,MIT,Military,False," Re: 蔡英文遭声讨：“人命三千 重要性不如艺人生娃”
",藍營的確是有毛病啊抬棺材給 總書記 慶生【 在 carkong (千里马) 的大作中提到: 】: 据台湾“中时新闻网”5月31日报道，台湾男艺人黄子佼5月19日迎接女儿“黄玉米”的: 诞生，并在近日分享收到的贺礼，当中包括台湾地区领导人蔡英文亲笔署名的祝贺信。: 这让网红朱学恒感叹地说：“十孩不见一滴泪，一宝立见‘总统’卡”，声讨最近儿童: 染疫死亡的事情吵得沸沸扬扬，但蔡英文却只关心艺人生小孩的事情。: 据“中时新闻网”此前报道，朱学恒提醒大家“醒醒吧，（感染新冠）死掉的10个孩子: 没名没姓，是收不到蔡英文一滴泪的”，更指出“而你敢说死10个孩子算多”，当局“: 就要立马侦办你呢”。: 曾为民进党籍的前台南县长苏焕智5月31日也在脸书针对该事件写下了一篇打油诗讽刺: 蔡当局。: 苏焕智首先针对蔡英文贺信写道：“明星一宝总统贺，疫灾死亡二千多，救助台风六分: ...................--小時侯鄉愁是一片薄薄的糯紙我在上頭蛋糕在下頭長大後鄉愁是一碗滿滿的米飯我在後頭控肉在前頭後來啊鄉愁是一張瘦瘦的照片我在裡頭天后在外頭而現在鄉愁是一塊厚厚的烤饃我在這頭羊肉在那頭,phlin,64644229,,,0, 2022年06月01日04:01:49,"  Re :   蔡 英文 遭 声讨 ： “ 人命 三千   重要性 不如 艺人 生娃 ” 
 藍營 的 確是 有 毛病 啊 抬 棺材 給   總書記   慶生 【   在   carkong   ( 千里马 )   的 大作 中 提到 :   】 :   据 台湾 “ 中 时 新闻网 ” 5 月 31 日 报道 ， 台湾 男艺人 黄子佼 5 月 19 日 迎接 女儿 “ 黄玉米 ” 的 :   诞生 ， 并 在 近日 分享 收到 的 贺礼 ， 当中 包括 台湾地区 领导人 蔡 英文 亲笔 署名 的 祝贺信 。 :   这 让 网红 朱学恒 感叹 地说 ： “ 十孩 不见 一滴 泪 ， 一宝立 见 ‘ 总统 ’ 卡 ” ， 声讨 最近 儿童 :   染疫 死亡 的 事情 吵得 沸沸扬扬 ， 但 蔡 英文 却 只 关心 艺人 生小孩 的 事情 。 :   据 “ 中 时 新闻网 ” 此前 报道 ， 朱学恒 提醒 大家 “ 醒醒 吧 ， （ 感染 新冠 ） 死 掉 的 10 个 孩子 :   没名 没姓 ， 是 收不到 蔡 英文 一滴 泪 的 ” ， 更 指出 “ 而 你 敢 说 死 10 个 孩子 算多 ” ， 当局 “ :   就要 立马 侦办 你 呢 ” 。 :   曾 为 民进党 籍 的 前 台南县 长苏焕智 5 月 31 日 也 在 脸书 针对 该 事件 写下 了 一篇 打油诗 讽刺 :   蔡 当局 。 :   苏焕智 首先 针对 蔡 英文 贺信 写道 ： “ 明星 一宝 总统 贺 ， 疫灾 死亡 二千多 ， 救助 台风 六分 :   ...................-- 小時 侯鄉 愁 是 一片 薄薄的 糯紙 我 在 上頭 蛋糕 在 下頭長 大後鄉 愁 是 一碗 滿滿 的 米 飯 我 在後頭 控肉 在 前 頭後來 啊 鄉愁 是 一張 瘦瘦的 照片 我 在 裡頭 天后 在外 頭而現 在 鄉愁 是 一塊 厚厚的 烤 饃 我 在 這頭 羊肉 在 那頭"
64644907,MIT,Military,False," Re: 你们对美国医疗的认识错得离谱
",喜欢平均主义的，有好多国家可以去。美国人换个国家住，太容易了。加拿大欢迎你。【 在 loom (loom) 的大作中提到: 】: 人生在米国长在米国，觉得医疗不好就得滚蛋，你这是什么强盗逻辑啊？--,testtest01,64644133,,,0, 2022年06月01日04:01:20,"  Re :   你们 对 美国 医疗 的 认识 错得 离谱 
 喜欢 平均主义 的 ， 有 好多 国家 可以 去 。 美国 人换个 国家 住 ， 太 容易 了 。 加拿大 欢迎 你 。 【   在   loom   ( loom )   的 大作 中 提到 :   】 :   人生 在 米 国长 在 米国 ， 觉得 医疗 不好 就 得 滚蛋 ， 你 这 是 什么 强盗 逻辑 啊 ？ --"
64644905,MIT,Military,False," Re: 安225被中国拆了，运回来研究了？
",【 在 zywin131 () 的大作中提到: 】: 即便老美准你收这堆废铜烂铁，海上已经被大毛封锁了，也没有空运吧，铁路运去波兰: ？匈牙利？这不得象当年瓦良格过博斯普鲁斯海峡一样被土耳其卡着脖子玩儿啊，再说: 这还是正式敌对时期，就算准运，民间来一个消息，中国又来偷技术发展军工了，那些: 占位乌克兰的怕铁路都给你堵喽。你这些论证，比刚才炮火纷飞的论证强多了。--,verdelite,64642415,,,0, 2022年06月01日04:01:05,"  Re :   安 225 被 中国 拆 了 ， 运回来 研究 了 ？ 
 【   在   zywin131   ( )   的 大作 中 提到 :   】 :   即便 老美准 你 收 这堆 废铜烂铁 ， 海上 已经 被 大毛 封锁 了 ， 也 没有 空运 吧 ， 铁路 运去 波兰 :   ？ 匈牙利 ？ 这 不得 象 当年 瓦良格 过 博斯普鲁斯海峡 一样 被 土耳其 卡着 脖子 玩儿 啊 ， 再说 :   这 还是 正式 敌对 时期 ， 就算 准运 ， 民间 来 一个 消息 ， 中国 又 来 偷 技术 发展 军工 了 ， 那些 :   占位 乌克兰 的 怕 铁路 都 给 你 堵 喽 。 你 这些 论证 ， 比 刚才 炮火 纷飞 的 论证 强多 了 。 --"
64644903,MIT,Military,False," Re: 半管宣了：003将于6月3号下水
",晚一天 會被 學生開走【 在 newbeing () 的大作中提到: 】: 冲上热搜了。--小時侯鄉愁是一片薄薄的糯紙我在上頭蛋糕在下頭長大後鄉愁是一碗滿滿的米飯我在後頭控肉在前頭後來啊鄉愁是一張瘦瘦的照片我在裡頭天后在外頭而現在鄉愁是一塊厚厚的烤饃我在這頭羊肉在那頭,phlin,64644889," 半管宣了：003将于6月3号下水
",冲上热搜了。--,newbeing, 2022年06月01日04:00:21,"  Re :   半管 宣了 ： 003 将 于 6 月 3 号 下水 
 晚 一天   會 被   學生開 走 【   在   newbeing   ( )   的 大作 中 提到 :   】 :   冲上 热 搜 了 。 -- 小時 侯鄉 愁 是 一片 薄薄的 糯紙 我 在 上頭 蛋糕 在 下頭長 大後鄉 愁 是 一碗 滿滿 的 米 飯 我 在後頭 控肉 在 前 頭後來 啊 鄉愁 是 一張 瘦瘦的 照片 我 在 裡頭 天后 在外 頭而現 在 鄉愁 是 一塊 厚厚的 烤 饃 我 在 這頭 羊肉 在 那頭"
64644901,MIT,Military,False," Re: 印度首艘国产航母8月中旬服役 但舰载机还没定
",【 在 pinfish (小刺鱼) 的大作中提到: 】: 舰载机是拖拉机摩托车，传统技能--,zywin131,64644081,,,0, 2022年06月01日04:00:09,"  Re :   印度 首艘 国产 航母 8 月 中旬 服役   但 舰载机 还 没定 
 【   在   pinfish   ( 小刺 鱼 )   的 大作 中 提到 :   】 :   舰载机 是 拖拉机 摩托车 ， 传统 技能 --"
64644899,MIT,Military,False," 安225被中国拆了，运回来研究了？
",没什么技术可以学的。假消息。--,newbeing,64642415,,,0, 2022年06月01日04:00:07,"  安 225 被 中国 拆 了 ， 运回来 研究 了 ？ 
 没什么 技术 可以 学 的 。 假消息 。 --"
