Comment ID,Website,Category,Is Article,Comment Title,Comment Text,User ID,Parent ID,Parent Title,Parent Text,Parent User ID,Comment Time,Segmented Text
2808488,WXC,currentEvent,True,什么样的纳粹军队会用集束炸弹杀死平民？,"Cluster Bomb Kills 3 In Kherson Ukraine (Special Report) - YouTube
 ",cnnbull,2808488,,,0, 06/01/2022  05:33:04,"什么样 的 纳粹 军队 会 用 集束炸弹 杀死 平民 ？ Cluster   Bomb   Kills   3   In   Kherson   Ukraine   ( Special   Report )   -   YouTube 
  "
2808482,WXC,currentEvent,True,包围圈最后十公里.,"  乌东包围圈最后十公里已经10多天了,双方形态基本保持不变.
看来,双方力量都是到了极限点.
现在就看谁能抗得住这消耗战.",最接近太阳的人,2808482,,,0, 06/01/2022  05:16:37,"包围圈 最后 十公里 .     乌东 包围圈 最后 十公里 已经 10 多天 了 , 双方 形态 基本 保持 不变 . 
 看来 , 双方 力量 都 是 到 了 极限点 . 
 现在 就 看 谁 能 抗得 住 这 消耗战 ."
2808479,WXC,currentEvent,True,我們的國家將走向地獄；加拿大宣布禁枪，苏斯曼被判无罪，独裁将代替民主，比尔盖茨提醒下一场大流行,"我們的國家將走向地獄；加拿大宣布禁枪，苏斯曼被判无罪，独裁将代替民主，比尔盖茨提醒下一场大流行
https://www.youtube.com/watch?v=ZwlE1izZp0o
   ",潜水专家,2808479,,,0, 06/01/2022  04:55:12,"我們 的 國家將 走向 地獄 ； 加拿大 宣布 禁枪 ， 苏斯 曼 被判 无罪 ， 独裁 将 代替 民主 ， 比尔盖茨 提醒 下一场 大 流行 我們 的 國家將 走向 地獄 ； 加拿大 宣布 禁枪 ， 苏斯 曼 被判 无罪 ， 独裁 将 代替 民主 ， 比尔盖茨 提醒 下一场 大 流行 
 https : / / www . youtube . com / watch ? v = ZwlE1izZp0o 
      "
2808475,WXC,currentEvent,True,川总说， 我们的法律系统是腐败的,"https://www.zerohedge.com/markets/hillary-lawyer-sussman-acquitted-lying-fbi-russia-hoax-farce
   ",luxh009,2808475,,,0, 06/01/2022  04:46:45,"川 总 说 ，   我们 的 法律 系统 是 腐败 的 https : / / www . zerohedge . com / markets / hillary - lawyer - sussman - acquitted - lying - fbi - russia - hoax - farce 
      "
2808459,WXC,currentEvent,True,普京识破了法德要求开放黑海外运粮油的阴谋：即明修栈道，暗渡陈仓（转运武器与大鲨鱼)。,,骂死王朗,2808459,,,0, 06/01/2022  01:16:26,普京 识破 了 法德 要求 开放 黑海 外运 粮油 的 阴谋 ： 即 明修栈道 ， 暗渡陈仓 （ 转运 武器 与 大 鲨鱼 ) 。
2808444,WXC,currentEvent,True,王岐山向美方求饶，看看下一轮是不是有结果,,tibuko,2808444,,,0, 05/31/2022  22:34:38,王岐山 向 美方 求饶 ， 看看 下 一轮 是不是 有 结果
2808427,WXC,currentEvent,True,Battle Over Critical Eastern City Becomes Brutal Street Figh,"Battle Over Critical Eastern City Becomes Brutal Street Fight 
https://www.thedrive.com/the-war-zone/ukraine-situation-report-battle-over-critical-eastern-city-becomes-brutal-street-fight",Uusequery,2808427,,,0, 05/31/2022  21:44:45,"Battle   Over   Critical   Eastern   City   Becomes   Brutal   Street   FighBattle   Over   Critical   Eastern   City   Becomes   Brutal   Street   Fight   
 https : / / www . thedrive . com / the - war - zone / ukraine - situation - report - battle - over - critical - eastern - city - becomes - brutal - street - fight"
2808388,WXC,currentEvent,True,愚蠢的中俄战略核巡航让中国遭遇灭国灭族的极度危险！,"我必须大声呼喊，中华民族到了最危险的时候了。大家都记得下一句是什么，每个人被迫着发出最后的吼声。可是这次如果我们再不醒悟，我们根本没有机会发出吼声就可能灭国灭族。危险迫在眉睫！
上一次中国对抗文明世界，不但损失了四千万人命，并且差一点灭国灭族。那是所谓的抗联援金战争。抗击联合国援助金家王朝。一场在错误的时间，错误的地方对错误的对象发动的可耻战争。斯大林耍花招让联合国通过决议，出兵维和支援韩国，同时又迫使毛出兵，对抗联合国，乘机向中国推销二战剩余的武器弹药，旧武器折成新武器价格高利贷卖给中国，限十年还清。俄国不但不用出一人一兵，还赚得盆满钵满，让中国火中取栗。
结果大家知道，战场上中国伤亡超过百万。更大的伤亡在战后，苏修逼债，中国根本没有什么工业基础，更没有任何外汇，只能以实物还债。而唯一能够拿得出的实物，便是粮食，猪牛羊鸡鸭等。由是在风调雨顺粮食收成正常的年份连续三年造成人为的大饥荒，饿死几千万人。这事在中共党史上记载得清清楚楚，苏修逼债，被迫粮食还债。可是没有那场战争，怎么欠得债呢？二次大战时候苏联接受大批美援，方能打败德国。美援名义上是借的美国钱，可是战后苏联赖得一干二净，一分钱没有还。美国怎么就没有逼债？因此中国的大饥荒，事实上是斯大林苏联一手造成的。

可是因为那场战争造成的灾难远远不止饿死几千万人。因为逼债和其他因素中苏交恶，苏联在中苏边境陈兵百万。苏联想用核武器攻击中国大城市，铁骑南下一举灭了中国，永绝后患。这绝对不是耸人听闻。当时核战争的危险性真真确确存在，中国全国上下紧张的得不得了，开展深挖洞，广积粮运动，全民挖核战防空洞，并且大批沿海的工厂设备拆了，运到内地，建立二线三线生产基地。这是多么巨大惊人的人力物力消耗和浪费，如果不是核战争的风险真真实实存在，会这样搞吗？千钧一发之际，美国救了中国。美国明确告诉苏联方面，若他对中国发动核攻击，美国将会攻击苏联。苏联本以为因为抗联援金战争，中美已经是敌人，他进攻中国，灭掉中国的核基地，美国应该乐得袖手旁观，乐观其成，怎么可能阻止呢？中国六十年代，差点就灭国灭族，亏得美国有雅量，不记仇，阻止了苏联对中国的核武器攻击。可见，错误和一个流氓国交朋友，后果严重。

今天，中国再次逆世界文明而行，放纵俄国侵略乌克兰，且公然宣称和俄国的全面结盟“上不封顶”。我们不要忘记，乌克兰曾经是世界第三大核武器国家，在1994年为世界和平放弃核武，在布达佩斯备忘录上，世界各大国包括美国俄国中国庄严承诺，作为交换条件，乌克兰的主权独立和领土完整不受侵犯，若有侵犯签约各国有责任帮助它击退入侵者。布达佩斯备忘录墨迹未干，难道就变成废纸一张，如果乌克兰放弃核武的结果就是被侵略而无人相救，给予世界大大小小所有国家的教训就是，国家不管大小，必须得拥有核武器，才不被欺负。如果那样，如果世界大大小小几百个国家都纷纷发展核武以求自保，那么世界再也没有和平可言了。
更加严重的是，普京以及俄国官媒和民间三天两头叫嚷进行赤裸裸的核威胁。最最严重的是，美日印澳四国元首在东京开会时候，中国和俄国联合进行了所谓的轰炸机战略巡航，绕日本一周，公然挑衅。
这件事情的性质极其严重，严重程度远远超过当年的古巴导弹危机。最近川普总统讲话了，说我做梦都想不到我们今天得谈论全球核战争的危险性，并且说发生全球核战争的可能性已经超过50%。所谓联合战略循航，更是直接把十几亿中国人绑架在普京的核战争机器上，随时变成陪葬的炮灰。
为什么这样说？官方通稿有联合战略巡航的官方文字。战略这个字眼不是随便用的，如果一架轰炸机挂几个鱼雷或者对地攻击导弹，巡航导弹之类在天上飞一圈，那不叫战略巡航，够不上战略。够得上战略字眼的，只能是挂着战略性核武器，随时可以发射，可以瞬间毁灭日本东京和在东京的四国总统，才叫战略巡航。事实上，据有关报道，那批轰炸机确实是携带了活的核武器在绕日本一周挑衅。那时，美国的末日战略指挥飞机也在天上飞，战略核潜艇也在太平洋不远处海底潜伏，随时可能接受指令发射核武器做报复核攻击！！！
这么严重的事情，之前从来没有发生过，从来不曾有两个国家携核弹进行所谓的联合战略巡航。这非常严重。俄国在战时状态。这是向全世界宣告中共是俄国的战时核战略同盟。须知，核战争的Engagement Rules和常规战争完全不一样，绝不是你打我一拳，我还你一脚，这样来来回回。核战争太严重了。如果一旦确定核战争已经爆发，不可避免，双方的考虑绝对不是怎样把核战争规模范围限制住。双方决策者的第一考虑是如何迅速彻底的把对方核打击能力在第一时间摧毁掉，以最大可能减少己方受到的核打击力度。因此一旦爆发，所有的核武器就几乎倾巢而出，努力摧毁对方包括对方的战略同盟国的核基地，军事基地，绝对不可能等到看到对方发射核导弹，再来还击。同理，中国俄国的决策者的考量也是假设对方会对自己发动核攻击，一定会先发制人，抢先发射核武器。这是极其危险的事情，因为和俄国结成战略同盟，中共绑架了十几亿中国人，有极大的被灭国灭族的危险。这是非常愚蠢的行为。
请大家想想，自从改革开放以来，中国民众从西方文明得到莫大的好处，生活大大改善。我们和西方国家有什么深仇大恨，非要灭了彼此才行？再问问，哪个西方国家有兴趣发动战争，抢夺你的国土？别说没有任何一个西方国家有兴趣侵略中国抢夺中国领土，就算中国全民投票，希望加入美国，成为美国一个州，美国都绝对不会接受，没有这个胃口。如果说美国和西方对中国有任何军事对抗，无非两样，南海航行自由，和尊重台湾人民和平生活的权利，任何时候不可以以武力破坏台湾人民的和平生活。这两条，难道过分了吗？己所不欲勿施于人，各国依赖于南海和平，商船可以不受威胁自由航行，你在南海造岛军事化，等于要了日本和韩国的命，这怎么可以。台湾人民是我们同文同种的同胞，再怎样，绝不应该同室操戈，我们渴望和平生活，台湾人民更加渴望和平生活，除非台湾先拿导弹攻击大陆，大陆没有丝毫理由对台动武。
一旦动武，美国和西方国家绝对不能不管。从这次乌克兰战争也知道，现代战争是高科技的信息战争，是智能精准打击自动武器的战争。二次大战时，希特勒德国花费几个月集结本国和仆从国550万精锐部队和坦克大炮飞机重型武器云集苏联边境，斯大林竟然毫无察觉。同样，诺曼底登陆动员几十万军人几万船只，德国根本不知道登陆点在哪里。那样缺乏军事侦查情报的时代一去不复返了。如果当年希特勒有侦查卫星，知道登陆点在哪里，诺曼底登陆绝不会成功。

同样，今天的侦查手段可以清楚分辨敌方每个士兵当天有没有刮胡子。任何军事行动不可能是军事秘密，不可能不立即让全世界都知道。以一千多艘船携带士兵强行登岛。在天上卫星注视下航行几个小时，你以为有任何成功的可能性吗？绝对没有，每一艘船都会被精准跟踪并被精准武器击中击沉。对台攻击只会失败不能成功。

我认为，不管从哪个角度，中共必须放弃武力犯台的不切实际的危险想法，解除和俄国的危险军事同盟。明确宣告我们不与俄国结盟并且谴责俄国的侵略行径。明确宣告我们永远不寻求用武力手段寻求台湾统一。明确宣告我们保证南海和平和各国船只通行自由。有这三点，可保和平。不然，一旦疯狂的普京按动核按钮，中华民族灭国灭族的空前灾难，就无可避免了。

为什么普京会按动核按钮？这场俄侵乌战争，西方不能让乌克兰输，普京也输不起。双方都不可能妥协。最理想的结果，是俄国兵败宣告退兵，普京宣布下台。但是有人认为普京是那种打断自己门牙自己吞到肚子里人？他只会不惜一切代价一批一批炮灰往乌克兰战场送，死光一批再送一批，直到战争资源耗尽，然后他会动用核武器。最坏情形，普京彻底兵败，他会举枪自戕，但是死之前他会按下核按钮。中国最重要的事情是与俄国切割，不要绑在普京战车上，不要做他的全球核战争炮灰。请大家迅速广泛传播，阻止中华民族的灭族大灾难。",马可安,2808388,,,0,,"愚蠢 的 中 俄 战略 核 巡航 让 中国 遭遇 灭国 灭族 的 极度 危险 ！ 我 必须 大声 呼喊 ， 中华民族 到 了 最 危险 的 时候 了 。 大家 都 记得 下 一句 是 什么 ， 每个 人 被迫 着 发出 最后 的 吼声 。 可是 这次 如果 我们 再 不 醒悟 ， 我们 根本 没有 机会 发出 吼声 就 可能 灭国 灭族 。 危险 迫在眉睫 ！ 
 上 一次 中国 对抗 文明 世界 ， 不但 损失 了 四千万 人命 ， 并且 差一点 灭国 灭族 。 那 是 所谓 的 抗联 援金 战争 。 抗击 联合国 援助 金家 王朝 。 一场 在 错误 的 时间 ， 错误 的 地方 对 错误 的 对象 发动 的 可耻 战争 。 斯大林 耍花招 让 联合国 通过 决议 ， 出兵 维和 支援 韩国 ， 同时 又 迫使 毛 出兵 ， 对抗 联合国 ， 乘机 向 中国 推销 二战 剩余 的 武器弹药 ， 旧 武器 折成 新 武器 价格 高利贷 卖 给 中国 ， 限 十年 还清 。 俄国 不但 不用 出一人 一兵 ， 还 赚 得 盆满 钵 满 ， 让 中国 火中取栗 。 
 结果 大家 知道 ， 战场 上 中国 伤亡 超过 百万 。 更大 的 伤亡 在 战后 ， 苏修 逼债 ， 中国 根本 没有 什么 工业 基础 ， 更 没有 任何 外汇 ， 只能 以 实物 还债 。 而 唯一 能够 拿 得出 的 实物 ， 便是 粮食 ， 猪 牛羊 鸡鸭 等 。 由 是 在 风调雨顺 粮食 收成 正常 的 年份 连续 三年 造成 人为 的 大 饥荒 ， 饿死 几千万 人 。 这事 在 中共党史 上 记载 得 清清楚楚 ， 苏修 逼债 ， 被迫 粮食 还债 。 可是 没有 那场 战争 ， 怎么 欠得债 呢 ？ 二次大战 时候 苏联 接受 大批 美援 ， 方 能 打败 德国 。 美援 名义 上 是 借 的 美国 钱 ， 可是 战后 苏联 赖得 一干二净 ， 一分钱 没有 还 。 美国 怎么 就 没有 逼债 ？ 因此 中国 的 大 饥荒 ， 事实上 是 斯大林 苏联 一手 造成 的 。 
 
 可是 因为 那场 战争 造成 的 灾难 远远 不止 饿死 几千万 人 。 因为 逼债 和 其他 因素 中 苏 交恶 ， 苏联 在 中苏 边境 陈兵 百万 。 苏联 想 用 核武器 攻击 中国 大城市 ， 铁骑 南下 一举 灭 了 中国 ， 永绝 后患 。 这 绝对 不是 耸人听闻 。 当时 核战争 的 危险性 真真 确确 存在 ， 中国 全国上下 紧张 的 得 不得了 ， 开展 深 挖洞 ， 广积粮 运动 ， 全民 挖 核战 防空洞 ， 并且 大批 沿海 的 工厂 设备 拆 了 ， 运到 内地 ， 建立 二线 三线 生产 基地 。 这是 多么 巨大 惊人 的 人力物力 消耗 和 浪费 ， 如果 不是 核战争 的 风险 真真实实 存在 ， 会 这样 搞 吗 ？ 千钧一发 之际 ， 美国 救 了 中国 。 美国 明确 告诉 苏联 方面 ， 若 他 对 中国 发动 核 攻击 ， 美国 将会 攻击 苏联 。 苏联 本 以为 因为 抗联 援金 战争 ， 中 美 已经 是 敌人 ， 他 进攻 中国 ， 灭掉 中国 的 核基地 ， 美国 应该 乐得 袖手旁观 ， 乐观其成 ， 怎么 可能 阻止 呢 ？ 中国 六十年代 ， 差点 就 灭国 灭族 ， 亏得 美国 有 雅量 ， 不 记仇 ， 阻止 了 苏联 对 中国 的 核武器 攻击 。 可见 ， 错误 和 一个 流氓 国 交朋友 ， 后果严重 。 
 
 今天 ， 中国 再次 逆 世界 文明 而行 ， 放纵 俄国 侵略 乌克兰 ， 且 公然 宣称 和 俄国 的 全面 结盟 “ 上 不 封顶 ” 。 我们 不要 忘记 ， 乌克兰 曾经 是 世界 第三 大 核武器 国家 ， 在 1994 年 为 世界 和平 放弃 核武 ， 在 布达佩斯 备忘录 上 ， 世界 各 大国 包括 美国 俄国 中国 庄严 承诺 ， 作为 交换条件 ， 乌克兰 的 主权 独立 和 领土完整 不 受 侵犯 ， 若有 侵犯 签约 各国 有 责任 帮助 它 击退 入侵者 。 布达佩斯 备忘录 墨迹未干 ， 难道 就 变成 废纸 一张 ， 如果 乌克兰 放弃 核武 的 结果 就是 被 侵略 而 无人 相救 ， 给予 世界 大大小小 所有 国家 的 教训 就是 ， 国家 不管 大小 ， 必须 得 拥有 核武器 ， 才 不 被 欺负 。 如果 那样 ， 如果 世界 大大小小 几百个 国家 都 纷纷 发展 核武 以求 自保 ， 那么 世界 再也 没有 和平 可言 了 。 
 更加 严重 的 是 ， 普京 以及 俄国 官媒 和 民间 三天两头 叫嚷 进行 赤裸裸 的 核威胁 。 最最 严重 的 是 ， 美日 印澳 四国 元首 在 东京 开会 时候 ， 中国 和 俄国 联合 进行 了 所谓 的 轰炸机 战略 巡航 ， 绕 日本 一周 ， 公然 挑衅 。 
 这件 事情 的 性质 极其 严重 ， 严重 程度 远远 超过 当年 的 古巴 导弹 危机 。 最近 川普 总统 讲话 了 ， 说 我 做梦 都 想不到 我们 今天 得 谈论 全球 核战争 的 危险性 ， 并且 说 发生 全球 核战争 的 可能性 已经 超过 50% 。 所谓 联合 战略 循航 ， 更是 直接 把 十几亿 中国 人 绑架 在 普京 的 核战争 机器 上 ， 随时 变成 陪葬 的 炮灰 。 
 为什么 这样 说 ？ 官方 通稿 有 联合 战略 巡航 的 官方 文字 。 战略 这个 字眼 不是 随便 用 的 ， 如果 一架 轰炸机 挂 几个 鱼雷 或者 对 地 攻击 导弹 ， 巡航导弹 之类 在 天上飞 一圈 ， 那 不 叫 战略 巡航 ， 够不上 战略 。 够得上 战略 字眼 的 ， 只能 是 挂 着 战略性 核武器 ， 随时 可以 发射 ， 可以 瞬间 毁灭 日本 东京 和 在 东京 的 四国 总统 ， 才 叫 战略 巡航 。 事实上 ， 据 有关 报道 ， 那批 轰炸机 确实 是 携带 了 活 的 核武器 在 绕 日本 一周 挑衅 。 那时 ， 美国 的 末日 战略 指挥 飞机 也 在 天上飞 ， 战略 核潜艇 也 在 太平洋 不远处 海底 潜伏 ， 随时 可能 接受 指令 发射 核武器 做 报复 核 攻击 ！ ！ ！ 
 这么 严重 的 事情 ， 之前 从来 没有 发生 过 ， 从来不 曾 有 两个 国家 携 核弹 进行 所谓 的 联合 战略 巡航 。 这 非常 严重 。 俄国 在 战时 状态 。 这 是 向 全世界 宣告 中共 是 俄国 的 战时 核战略 同盟 。 须知 ， 核战争 的 Engagement   Rules 和 常规战争 完全 不 一样 ， 绝不 是 你 打 我 一拳 ， 我 还 你 一脚 ， 这样 来来回回 。 核战争 太 严重 了 。 如果 一旦 确定 核战争 已经 爆发 ， 不可避免 ， 双方 的 考虑 绝对 不是 怎样 把 核战争 规模 范围 限制住 。 双方 决策者 的 第一 考虑 是 如何 迅速 彻底 的 把 对方 核打击 能力 在 第一 时间 摧毁 掉 ， 以 最大 可能 减少 己方 受到 的 核打击 力度 。 因此 一旦 爆发 ， 所有 的 核武器 就 几乎 倾巢而出 ， 努力 摧毁 对方 包括 对方 的 战略 同盟国 的 核基地 ， 军事基地 ， 绝对 不 可能 等到 看到 对方 发射 核导弹 ， 再 来 还击 。 同理 ， 中国 俄国 的 决策者 的 考量 也 是 假设 对方 会 对 自己 发动 核 攻击 ， 一定 会 先发制人 ， 抢先 发射 核武器 。 这是 极其 危险 的 事情 ， 因为 和 俄国 结成 战略 同盟 ， 中共 绑架 了 十几亿 中国 人 ， 有 极大 的 被 灭国 灭族 的 危险 。 这是 非常 愚蠢 的 行为 。 
 请 大家 想想 ， 自从 改革开放 以来 ， 中国 民众 从 西方 文明 得到 莫大 的 好处 ， 生活 大大 改善 。 我们 和 西方 国家 有 什么 深仇大恨 ， 非要 灭 了 彼此 才行 ？ 再 问问 ， 哪个 西方 国家 有 兴趣 发动战争 ， 抢夺 你 的 国土 ？ 别说 没有 任何 一个 西方 国家 有 兴趣 侵略 中国 抢夺 中国 领土 ， 就算 中国 全民投票 ， 希望 加入 美国 ， 成为 美国 一个 州 ， 美国 都 绝对 不会 接受 ， 没有 这个 胃口 。 如果说 美国 和 西方 对 中国 有 任何 军事 对抗 ， 无非 两样 ， 南海 航行 自由 ， 和 尊重 台湾 人民 和平 生活 的 权利 ， 任何 时候 不 可以 以 武力 破坏 台湾 人民 的 和平 生活 。 这 两条 ， 难道 过分 了 吗 ？ 己所不欲 勿施于人 ， 各国 依赖于 南海 和平 ， 商船 可以 不 受 威胁 自由 航行 ， 你 在 南海 造岛 军事化 ， 等于 要 了 日本 和 韩国 的 命 ， 这 怎么 可以 。 台湾 人民 是 我们 同文同种 的 同胞 ， 再 怎样 ， 绝不 应该 同室操戈 ， 我们 渴望 和平 生活 ， 台湾 人民 更加 渴望 和平 生活 ， 除非 台湾 先 拿 导弹 攻击 大陆 ， 大陆 没有 丝毫 理由 对台 动武 。 
 一旦 动武 ， 美国 和 西方 国家 绝对 不能 不管 。 从 这次 乌克兰 战争 也 知道 ， 现代战争 是 高科技 的 信息 战争 ， 是 智能 精准 打击 自动武器 的 战争 。 二次大战 时 ， 希特勒 德国 花费 几个 月 集结 本国 和 仆从国 550 万 精锐部队 和 坦克 大炮 飞机 重型 武器 云集 苏联 边境 ， 斯大林 竟然 毫无 察觉 。 同样 ， 诺曼底 登陆 动员 几十万 军人 几万 船只 ， 德国 根本 不 知道 登陆点 在 哪里 。 那样 缺乏 军事 侦查 情报 的 时代 一去不复返了 。 如果 当年 希特勒 有 侦查 卫星 ， 知道 登陆点 在 哪里 ， 诺曼底 登陆 绝不会 成功 。 
 
 同样 ， 今天 的 侦查 手段 可以 清楚 分辨 敌方 每个 士兵 当天 有没有 刮胡子 。 任何 军事行动 不 可能 是 军事 秘密 ， 不 可能 不 立即 让 全世界 都 知道 。 以 一千多 艘 船 携带 士兵 强行 登岛 。 在 天上 卫星 注视 下 航行 几个 小时 ， 你 以为 有 任何 成功 的 可能性 吗 ？ 绝对 没有 ， 每 一艘船 都 会 被 精准 跟踪 并 被 精准 武器 击中 击沉 。 对台 攻击 只会 失败 不能 成功 。 
 
 我 认为 ， 不管 从 哪个 角度 ， 中共 必须 放弃 武力 犯台 的 不切实际 的 危险 想法 ， 解除 和 俄国 的 危险 军事同盟 。 明确 宣告 我们 不 与 俄国 结盟 并且 谴责 俄国 的 侵略 行径 。 明确 宣告 我们 永远 不 寻求 用 武力 手段 寻求 台湾 统一 。 明确 宣告 我们 保证 南海 和平 和 各国 船只 通行 自由 。 有 这 三点 ， 可保 和平 。 不然 ， 一旦 疯狂 的 普京 按动 核 按钮 ， 中华民族 灭国 灭族 的 空前 灾难 ， 就 无可避免 了 。 
 
 为什么 普京 会 按动 核 按钮 ？ 这场 俄侵 乌 战争 ， 西方 不能 让 乌克兰 输 ， 普京 也 输不起 。 双方 都 不 可能 妥协 。 最 理想 的 结果 ， 是 俄国 兵败 宣告 退兵 ， 普京 宣布 下台 。 但是 有人 认为 普京 是 那种 打断 自己 门牙 自己 吞 到 肚子 里 人 ？ 他 只会 不惜一切 代价 一批 一批 炮灰 往 乌克兰 战场 送 ， 死光 一批 再 送 一批 ， 直到 战争 资源 耗尽 ， 然后 他会 动用 核武器 。 最坏 情形 ， 普京 彻底 兵败 ， 他会 举枪 自 戕 ， 但是 死 之前 他会 按 下 核 按钮 。 中国 最 重要 的 事情 是 与 俄国 切割 ， 不要 绑 在 普京 战车 上 ， 不要 做 他 的 全球 核战争 炮灰 。 请 大家 迅速 广泛传播 ， 阻止 中华民族 的 灭族 大灾难 。"
2808375,WXC,currentEvent,True,乌情报部：俄军将在年底前耗尽弹药，而乌军弹药滚雪球式增长,乌克兰方面声称，俄军3个多月已经损失了超过1300辆坦克、3000辆装甲车、600门火炮、200架战机和30000名士兵。乌克兰情报局局长吉里洛·布达诺夫认为俄军的燃料、弹药和武器装备只够维持7个月的全面进攻，其军力将于今年年底之前达到最大降幅，届时弹药将会耗尽。而得益于北约援助，乌军弹药呈现滚雪球式增长，主要问题是不太会用,slinger,2808375,,,0,,乌 情报部 ： 俄军 将 在 年底 前 耗尽 弹药 ， 而 乌军 弹药 滚雪球 式 增长 乌克兰 方面 声称 ， 俄军 3 个 多月 已经 损失 了 超过 1300 辆 坦克 、 3000 辆 装甲车 、 600 门 火炮 、 200 架 战机 和 30000 名 士兵 。 乌克兰 情报局 局长 吉里 洛 · 布达 诺夫 认为 俄军 的 燃料 、 弹药 和 武器装备 只 够 维持 7 个 月 的 全面 进攻 ， 其 军力 将 于 今年年底 之前 达到 最大 降幅 ， 届时 弹药 将会 耗尽 。 而 得益于 北约 援助 ， 乌军 弹药 呈现 滚雪球 式 增长 ， 主要 问题 是 不太会 用
2808358,WXC,currentEvent,True,乌军各部收到指令：对于战场出现的越来越多的俄T62坦克，不要浪费标枪导弹，用普通火箭筒RPG即可。乌军有十几万RPG储备,"本文内容已被 [ slinger ] 在 2022-05-31 20:08:51 编辑过。如有问题，请报告版主或论坛管理删除.
T62有四名乘员，比T72多一名炮手。意味消灭一辆T62会多消灭一名俄军，个顶个的铁棺材
乌军相当兴奋，准备全民猎杀T62",slinger,2808358,,,0, 05/31/2022  20:05:42,"乌军 各部 收到 指令 ： 对于 战场 出现 的 越来越 多 的 俄 T62 坦克 ， 不要 浪费 标枪 导弹 ， 用 普通 火箭筒 RPG 即可 。 乌军 有 十几万 RPG 储备 本文 内容 已 被   [   slinger   ]   在   2022 - 05 - 31   20 : 08 : 51   编辑 过 。 如 有 问题 ， 请 报告 版主 或 论坛 管理 删除 . 
 T62 有 四名 乘员 ， 比 T72 多 一名 炮手 。 意味 消灭 一辆 T62 会多 消灭 一名 俄军 ， 个 顶个 的 铁 棺材 
 乌军 相当 兴奋 ， 准备 全民 猎杀 T62"
